epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2968,2.49771,3.3058,1.93927,0.54753,0.44222,0.45894,0.14407,2.58816,2.73136,1.90952,0.00014,0.00014,0.08614
2,23.275,1.95438,1.54499,1.59449,0.56597,0.47309,0.45631,0.11888,2.75126,3.17254,2.24709,0.000289717,0.000289717,0.0712897
3,34.3687,1.88527,1.40094,1.56044,0.3595,0.52408,0.33956,0.09714,2.48278,2.17305,2.06708,0.000438283,0.000438283,0.0564383
4,45.1391,1.84524,1.38871,1.53247,0.4862,0.54958,0.45134,0.14561,2.2871,1.82467,1.88716,0.000584827,0.000584827,0.0415848
5,56.0311,1.84478,1.3051,1.52162,0.30021,0.60057,0.2654,0.10043,2.08571,6.46873,1.7173,0.000728492,0.000728492,0.0267285
6,66.4133,1.85301,1.30083,1.53295,0.20431,0.64873,0.17594,0.07251,2.04556,15.7861,1.68941,0.000868438,0.000868438,0.0118684
7,76.7172,1.85592,1.33086,1.53833,0.04757,0.18414,0.0167,0.00706,2.60955,76.5078,2.3987,0.000965239,0.000965239,0.000965239
8,87.321,1.78882,1.27549,1.48355,0.01092,0.03116,0.00517,0.00192,3.39699,71.1266,3.58351,0.000952889,0.000952889,0.000952889
9,97.8056,1.80734,1.25516,1.49084,0.00958,0.19547,0.00575,0.00252,2.47117,8.36374,1.91353,0.000938772,0.000938772,0.000938772
10,108.361,1.7757,1.27347,1.48672,0.01444,0.19263,0.0098,0.00456,2.57512,6.53731,2.08377,0.000922942,0.000922942,0.000922942
11,118.759,1.83635,1.28855,1.51057,0.64256,0.48442,0.48081,0.21031,2.15967,1.68133,1.75069,0.000905463,0.000905463,0.000905463
12,129.64,1.81974,1.26522,1.50012,0.60316,0.54391,0.58494,0.28543,1.86473,1.48986,1.57115,0.000886404,0.000886404,0.000886404
13,140.397,1.7268,1.22533,1.47563,0.69214,0.64306,0.69514,0.28711,2.01374,1.25993,1.62224,0.000865839,0.000865839,0.000865839
14,151.439,1.76574,1.19981,1.48096,0.71501,0.68839,0.73428,0.37398,1.73707,1.15932,1.49714,0.000843851,0.000843851,0.000843851
15,162.551,1.73862,1.18305,1.44801,0.69037,0.67705,0.73102,0.36745,1.74926,1.18044,1.48046,0.000820525,0.000820525,0.000820525
16,173.137,1.76518,1.19133,1.48644,0.67683,0.60623,0.67039,0.32523,1.80661,1.24264,1.51491,0.000795954,0.000795954,0.000795954
17,183.397,1.726,1.18496,1.47085,0.73587,0.66296,0.7518,0.37047,1.77144,1.16906,1.4764,0.000770234,0.000770234,0.000770234
18,193.964,1.74664,1.2283,1.45268,0.6753,0.55524,0.6458,0.26844,2.14699,1.27113,1.67144,0.000743468,0.000743468,0.000743468
19,204.406,1.73837,1.17933,1.46041,0.71842,0.62606,0.71711,0.36216,1.72201,1.18351,1.46545,0.000715761,0.000715761,0.000715761
20,214.825,1.69706,1.17538,1.44053,0.72686,0.64873,0.72645,0.32029,2.04292,1.13947,1.61304,0.000687222,0.000687222,0.000687222
21,225.687,1.68543,1.12641,1.43061,0.76608,0.71105,0.79351,0.38762,1.81351,1.05909,1.49561,0.000657963,0.000657963,0.000657963
22,236.417,1.70567,1.15283,1.4539,0.76713,0.76771,0.8212,0.3873,1.86725,1.02534,1.51783,0.000628101,0.000628101,0.000628101
23,247.153,1.6443,1.08041,1.39574,0.72364,0.67139,0.71855,0.27884,2.19068,1.15967,1.68378,0.000597754,0.000597754,0.000597754
24,257.696,1.67191,1.08684,1.41654,0.80634,0.7762,0.83482,0.3574,1.95013,1.01517,1.55227,0.00056704,0.00056704,0.00056704
25,267.972,1.65557,1.06426,1.4048,0.80103,0.81303,0.84818,0.45788,1.61634,0.93041,1.39256,0.000536081,0.000536081,0.000536081
26,278.835,1.66922,1.07969,1.41875,0.80504,0.76487,0.84267,0.43656,1.64615,0.96451,1.40058,0.000505,0.000505,0.000505
27,289.351,1.6411,1.06483,1.38834,0.79932,0.7762,0.84525,0.43451,1.65518,0.94824,1.41322,0.000473919,0.000473919,0.000473919
28,300.163,1.61858,1.05667,1.39945,0.8138,0.79241,0.85274,0.42599,1.66673,0.94724,1.40968,0.00044296,0.00044296,0.00044296
29,310.481,1.66732,1.03591,1.41332,0.79221,0.80453,0.86403,0.4418,1.65186,0.93642,1.39457,0.000412246,0.000412246,0.000412246
30,320.92,1.59355,1.02491,1.37505,0.82447,0.81167,0.86765,0.424,1.73733,0.96667,1.42859,0.000381899,0.000381899,0.000381899
31,331.456,1.60289,1.02062,1.36748,0.85439,0.76461,0.86629,0.45562,1.6299,0.94847,1.38695,0.000352037,0.000352037,0.000352037
32,342.141,1.61597,1.02226,1.38579,0.84584,0.77717,0.85721,0.43071,1.69925,0.94335,1.42418,0.000322778,0.000322778,0.000322778
33,352.599,1.61143,1.01311,1.37655,0.84865,0.7762,0.8637,0.42199,1.71386,0.92881,1.43069,0.000294239,0.000294239,0.000294239
34,362.943,1.60289,1.01004,1.38646,0.82784,0.7762,0.85405,0.44812,1.60444,0.93186,1.38824,0.000266532,0.000266532,0.000266532
35,373.534,1.5746,0.99337,1.38236,0.80541,0.77384,0.84683,0.4439,1.58175,0.93951,1.38192,0.000239766,0.000239766,0.000239766
36,384.222,1.60092,1.02892,1.38461,0.84644,0.77904,0.8676,0.4679,1.56269,0.89557,1.35953,0.000214046,0.000214046,0.000214046
37,394.786,1.60083,0.9518,1.34438,0.85944,0.77337,0.86526,0.46393,1.57561,0.89406,1.36167,0.000189475,0.000189475,0.000189475
38,405.294,1.54339,0.97237,1.36087,0.84,0.79603,0.87236,0.47203,1.56026,0.87717,1.35798,0.000166149,0.000166149,0.000166149
39,416.009,1.51464,0.94778,1.32395,0.84695,0.81521,0.88594,0.46968,1.59567,0.87424,1.37275,0.000144161,0.000144161,0.000144161
40,426.388,1.52681,0.94219,1.34316,0.86781,0.78107,0.8749,0.4624,1.6158,0.87528,1.37989,0.000123596,0.000123596,0.000123596
41,454.058,1.48204,0.93358,1.38906,0.87832,0.777,0.87442,0.47007,1.57931,0.88237,1.36528,0.000104537,0.000104537,0.000104537
42,464.387,1.47433,0.90347,1.3791,0.82227,0.7932,0.86369,0.48456,1.50734,0.89842,1.33718,8.70577e-05,8.70577e-05,8.70577e-05
43,475.087,1.45262,0.87144,1.35292,0.79817,0.8187,0.86166,0.4906,1.49016,0.90589,1.33377,7.12282e-05,7.12282e-05,7.12282e-05
44,485.814,1.45004,0.88318,1.3723,0.81362,0.82857,0.86893,0.486,1.52527,0.88585,1.34519,5.71106e-05,5.71106e-05,5.71106e-05
45,496.071,1.43572,0.87131,1.36755,0.82623,0.8272,0.87111,0.48078,1.55023,0.87841,1.35575,4.47606e-05,4.47606e-05,4.47606e-05
46,506.39,1.41768,0.85071,1.32456,0.8348,0.81599,0.87484,0.48437,1.55161,0.87338,1.35416,3.4227e-05,3.4227e-05,3.4227e-05
47,516.668,1.40402,0.84478,1.33418,0.83451,0.81586,0.87308,0.48937,1.53552,0.8649,1.34831,2.55513e-05,2.55513e-05,2.55513e-05
48,526.813,1.4128,0.87273,1.3562,0.83729,0.80174,0.87225,0.48794,1.52983,0.86603,1.35094,1.87678e-05,1.87678e-05,1.87678e-05
49,536.736,1.43807,0.86544,1.35547,0.8359,0.81586,0.87338,0.48539,1.53633,0.86563,1.3546,1.39032e-05,1.39032e-05,1.39032e-05
50,547.19,1.41579,0.85886,1.35492,0.85563,0.82153,0.87765,0.48571,1.54879,0.86201,1.36058,1.09768e-05,1.09768e-05,1.09768e-05
